url,out,checksum
https://researchdata.ntu.edu.sg/api/access/datafile/109008?gbrecs=true,..\data\S0002\S0002_full_SQobold_spl.wav,8d5f4e3e1d7ece42ca7dc360bfdf0da86f5b5f8e967b31f2c859ca6a2b7f53db1c54fe8a2bfa5160c036d9d5e989c65d3bca269d3f66442d24b66a90d55696d9
https://researchdata.ntu.edu.sg/api/access/datafile/109007?gbrecs=true,..\data\S0002\S0002_full_Zylia_02ch.wav,dab9549d0850396ae600fbcd28782861e8b4d7e00a5aad0ea6fb11d66bd04489b22562de01f033a375e9da69e303dfe8e8b69ded954c028c3bc6056229b72e57
https://researchdata.ntu.edu.sg/api/access/datafile/109006?gbrecs=true,..\data\S0002\S0002_full_Zylia_19ch_part01.wav,25ff8cc1de6629e35fefa0cfe5e3ebb0c89af78c82baf7cea49a7fcedfc4bfc348e438b395d250737528dfe9ea396f4bb19c480639fb84472299178040cf66fc
https://researchdata.ntu.edu.sg/api/access/datafile/109004?gbrecs=true,..\data\S0002\S0002_full_Zylia_19ch_part02.wav,41d807522643f1d11f3ca3e3aaeea65fc38ca2c647fe3114a6d332f6e91e40f46e267ab9bc3a8aaea4a57af49ccf4dabbee48e0d6e929b5ca500a4e26c891b03
https://researchdata.ntu.edu.sg/api/access/datafile/111058?gbrecs=true,..\data\S0003\S0003_1min_Insta360.mp4,5af154078a76ed5829460ae2354f7c400ea2a803a0b7e5be1eedabfdbb025fad2c3745546a58d5751399599c778ab0b0341bb880c8259d0151acaaae41779a16
https://researchdata.ntu.edu.sg/api/access/datafile/111310?gbrecs=true,..\data\S0003\S0003_1min_SQobold_all.hdf,4a936299c7edb0d7cf547e0270bc21423f1dac9aa0bbd986e7f8405f1e6cf69113f17c255b0240c4df71783e0bdd37e5c3bd1ff948b0bab40c39b9fa23107401
https://researchdata.ntu.edu.sg/api/access/datafile/110157?gbrecs=true,..\data\S0003\S0003_1min_SQobold_bin.wav,826d7db6e65895abe10787f5a94f0017dfaf0afd0452a8640b8343d288c13457076ec4b5e513bc4202ab03aca1718bec22cf9460bedc662efbe37025460ed51a
https://researchdata.ntu.edu.sg/api/access/datafile/110165?gbrecs=true,..\data\S0003\S0003_1min_SQobold_spl.wav,0e98bd6264d592e1aee83f7a290c605b56a981ada0d0741d71c9938fe8edd75ab419c6589a7eb9a147311f8f809fcabcdcea60d7234da18dc308b0edcc62833c
https://researchdata.ntu.edu.sg/api/access/datafile/110155?gbrecs=true,..\data\S0003\S0003_1min_Zylia_02ch.wav,14d3140bb4c8642907d744c68ef9664eb2b9e77743615c881bae1ab14404f54b870a508ce0518a4f52a8fa1f79d3c652343b72a2a383f3beeaa1fe6e8fe5777f
https://researchdata.ntu.edu.sg/api/access/datafile/110320?gbrecs=true,..\data\S0003\S0003_1min_Zylia_19ch.wav,aef58413ec11a7b559422ca34f51852913acfb2c41efde7401313a16db3faf8d3fbd3010a5e3feec2156e7e8824552cf2096d27570f5b7656432e57e1201517d
Upon request,..\data\S0003\S0003_full_Insta360.mp4,f4b7e0ce5d069990998f32f63e793b2868f805d66c107a3e564ba3ab5c7f6ebeeb721a9f4d7b596163fe4718e3fec319bad1daf4a733b6d10443ee4dcbe154a3
https://researchdata.ntu.edu.sg/api/access/datafile/111136?gbrecs=true,..\data\S0003\S0003_full_SQobold_all.hdf,fdac37f378263c1c7547b7b75813a4dff8d67b14521b3e6568094e66d4b165d8f9fa2c2d5a22b7f8e8ca951fa6f698ef8119029990351841778c87ec8d09786e
